"obs_month","obs_mean","sim_mean","obs_sd","sim_sd","obs_q_01","sim_q_01","obs_q_99","sim_q_99"
1,1.53,1.47,3.39,3.19,-9.42,-6.04,6.39,8.93
,,(0.25),,(0.21),,(1.01),,(1.05)
2,-3.23,-2.13,4.31,4.22,-9.18,-11.42,9.36,7.76
,,(0.33),,(0.25),,(1.24),,(1.22)
3,0.70,0.55,3.17,3.71,-7.80,-8.17,9.95,9.06
,,(0.29),,(0.23),,(1.15),,(1.08)
4,-2.37,-2.03,3.48,4.13,-10.44,-11.12,5.93,8.03
,,(0.32),,(0.26),,(1.21),,(1.28)
5,-0.28,0.23,2.25,3.34,-5.58,-7.52,4.93,7.95
,,(0.26),,(0.21),,(1.04),,(1.03)
6,2.97,2.02,4.42,4.04,-7.12,-7.37,10.33,11.01
,,(0.31),,(0.24),,(1.14),,(1.13)
7,-2.20,-2.62,4.73,3.51,-8.59,-10.43,11.31,5.73
,,(0.27),,(0.22),,(1.01),,(1.04)
8,-1.37,-2.44,4.59,3.92,-6.94,-11.06,8.46,7.07
,,(0.31),,(0.24),,(1.08),,(1.26)
9,2.74,3.13,5.91,4.50,-10.08,-7.79,9.68,12.56
,,(0.35),,(0.26),,(1.35),,(1.06)
10,-0.48,0.08,3.82,4.93,-10.55,-10.91,8.46,11.53
,,(0.38),,(0.29),,(1.34),,(1.45)
11,0.04,0.22,2.14,3.57,-5.94,-8.13,4.52,8.23
,,(0.28),,(0.22),,(1.03),,(1.00)
12,0.49,1.23,5.68,5.49,-11.78,-11.04,9.10,11.89
,,(0.43),,(0.28),,(1.19),,(0.98)
global,-3.06,0.50,9.43,13.20,-26.27,-29.06,26.22,29.82
,,(1.04),,(0.74),,(3.36),,(3.32)
